Original Sentence	Modified Sentence	Case Rule Applied	Source of Data
Ìjọba Tanzania fi Ajìjàgbara Ọmọ Orílẹ̀-èdèe Uganda sí àtìmọ́lé, wọ́n sì lé e kúrò nílùú	Ijoba Tanzania fi Ajijagbara Omo Orile-edee Uganda si atimole, won si le e kuro niluu	remove_accents_and_underdots	globalVoices
Wairagala Wakabi, àgbà ọ̀jẹ̀ ajàfẹ́tọ̀ọ́ ẹ̀rọ ayárabíàṣá tí ó wá láti Uganda, di ẹni àtìmọ́lé ní Pápákọ̀ òfuurufú Julius Nyerere International Airport ní Dar es Salaam, Tanzania lọ́jọ́ 25 oṣù Igbe.	Wairagala Wakabi, agba oje ajafetoo ero ayarabiasa ti o wa lati Uganda, di eni atimole ni Papako ofuurufu Julius Nyerere International Airport ni Dar es Salaam, Tanzania lojo 25 osu Igbe.	remove_accents_and_underdots	globalVoices
A fi ìwé pe Wakabi kí ó wá á sọ̀rọ̀ níbi ètò Àyájọ́ Àwọn Olùgbèjà Ẹ̀tọ́ Ọmọnìyàn ní Tanzania ọlọ́dọọdún tí Àgbáríjọ Olùgbèjà Ẹ̀tọ́ Ọmọnìyàn ti Tanzania (THRDC) jẹ́ olùgbàlejò. Wakabi ni Olùdarí Àgbà Ìfọwọ́sowọ́pọ̀ Ètò-ìmúlò Ìmọ̀-ẹ̀rọ Gbogboògbò fún Ìlà-Oòrùn àti Gúúsù Ilẹ̀ Adúláwò (CIPESA), ọ̀kan gbòógì nínú ilé-iṣẹ́ tí ó ń ṣe ètò tí ó dá lórí ètò-ìmúlò ẹ̀rọ ayélujára àti òmìnira ọ̀rọ̀ sísọ ní orí ayélujára ní ilẹ̀ Adúláwò.	A fi iwe pe Wakabi ki o wa a soro nibi eto Ayajo Awon Olugbeja Eto Omoniyan ni Tanzania olodoodun ti Agbarijo Olugbeja Eto Omoniyan ti Tanzania (THRDC) je olugbalejo. Wakabi ni Oludari Agba Ifowosowopo Eto-imulo Imo-ero Gbogboogbo fun Ila-Oorun ati Guusu Ile Adulawo (CIPESA), okan gboogi ninu ile-ise ti o n se eto ti o da lori eto-imulo ero ayelujara ati ominira oro siso ni ori ayelujara ni ile Adulawo.	remove_accents_and_underdots	globalVoices
Lẹ́yìn ọ̀pọ̀lọpọ̀ wákàtí tí a fi ọ̀rọ̀ wá Wakabi lẹ́nu wò, tí wọn kò sì jẹ́ kí ó rí agbẹjọ́rò, a dá a padà sí Uganda.	Leyin opolopo wakati ti a fi oro wa Wakabi lenu wo, ti won ko si je ki o ri agbejoro, a da a pada si Uganda.	remove_accents_and_underdots	globalVoices
Àwọn aṣojú láti Àgbáríjọ Olùgbèjà Ẹ̀tọ́ Ọmọnìyàn gbìyànjú láti jà fún un, àmọ́ a sọ fún wọn wípé fún “àǹfààní ìlú” ni a fi dá Wakabi padà sí ìlúu rẹ̀:	Awon asoju lati Agbarijo Olugbeja Eto Omoniyan gbiyanju lati ja fun un, amo a so fun won wipe fun “anfaani ilu” ni a fi da Wakabi pada si iluu re:	remove_accents_and_underdots	globalVoices
Bí ó ti lẹ̀ jẹ́ pé ìṣẹ̀lẹ̀ náà kò ju wákàtí díẹ̀ lọ, ó mú ìjáyà ńlá bá àwọn ajàfẹ́tọ̀ọ́ ní agbègbè náà, tí ọ̀ràn ìwà àìtọ́ tí orílẹ̀-èdèe Tanzania ń wù sí àwọn ajìjàgbara àti oníṣẹ́-ìròyìn ń peléke sí i. Nínú oṣù Belu ọdún tí ó ré kọjá, àwọn òṣìṣẹ́ Ìgbìmọ̀ tí ó ń Dáàbò bo Oníṣẹ́-ìròyìn, Angela Quintal àti Muthoki Mumo di ẹni àtìmọ́lé fún ọ̀pọ̀ wákàtí ní Dar es Salaam, Tanzania, tí ìwé ẹ̀rí ọmọ-ìlú-fún-ìrìnnàa wọ́n di gbígbà lọ́wọ́ọ wọn.	Bi o ti le je pe isele naa ko ju wakati die lo, o mu ijaya nla ba awon ajafetoo ni agbegbe naa, ti oran iwa aito ti orile-edee Tanzania n wu si awon ajijagbara ati onise-iroyin n peleke si i. Ninu osu Belu odun ti o re koja, awon osise Igbimo ti o n Daabo bo Onise-iroyin, Angela Quintal ati Muthoki Mumo di eni atimole fun opo wakati ni Dar es Salaam, Tanzania, ti iwe eri omo-ilu-fun-irinnaa won di gbigba lowoo won.	remove_accents_and_underdots	globalVoices
Human Rights Watch sọ wípé lábẹ́ ìṣàkóso ìjọba Ààrẹ John Magufuli Tanzania ti rí “ìrésílẹ̀ ìbọ̀wọ̀ fún òmìnira ọ̀rọ̀ sísọ, ìkẹ́gbẹ́ àti àpéjọ dé ojú àmì”	Human Rights Watch so wipe labe isakoso ijoba Aare John Magufuli Tanzania ti ri “iresile ibowo fun ominira oro siso, ikegbe ati apejo de oju ami”	remove_accents_and_underdots	globalVoices
Ní ọdún-un 2015, Orílẹ̀èdè Olómìnira Ìṣọ̀kan Tanzania kéde Ìgbésẹ̀ Ìrúfin Orí Ẹ̀rọ Ayélujára. Ní àárín ọdún kan tí a kéde òfin yẹn, ó ti tó bí ọmọ orílẹ̀ èdèe Tanzania 14 tí òfín ti mú tí a sì ti dálẹ́jọ́ lábẹ́ òfin fún pé wọ́n sọ̀rọ̀ mọ́ṣààsí sí ààrẹ lórí ẹ̀rọ alátagbà. Pẹ́pẹ́yẹ gbé ọmọ pọ̀n nínú oṣù Ẹrẹ́nà ọdún-un 2018 nígbàtí a gba Ìlànà Ẹ̀rọ Ayárabíàṣá (Ohun orí ayélujára) àti Ìtàkùrọ̀sọ Ìfìwéránṣẹ́ wọlé tí ó mú un ní túláàsì fún àwọn akọbúlọ́ọ̀gù láti fi orúkọ sílẹ̀ tí wọ́n á sì san owó orí tí ó tó bíi US $900 lọ́dún kí wọn ó tó lè gbé àtẹ̀jáde sí orí ayélujára. Èyí mú kí ọ̀pọ̀lọpọ̀ búlọ́ọ̀gù aládàádúró ó wọ òkùnkùn.	Ni odun-un 2015, Orileede Olominira Isokan Tanzania kede Igbese Irufin Ori Ero Ayelujara. Ni aarin odun kan ti a kede ofin yen, o ti to bi omo orile edee Tanzania 14 ti ofin ti mu ti a si ti dalejo labe ofin fun pe won soro mosaasi si aare lori ero alatagba. Pepeye gbe omo pon ninu osu Erena odun-un 2018 nigbati a gba Ilana Ero Ayarabiasa (Ohun ori ayelujara) ati Itakuroso Ifiweranse wole ti o mu un ni tulaasi fun awon akobuloogu lati fi oruko sile ti won a si san owo ori ti o to bii US $900 lodun ki won o to le gbe atejade si ori ayelujara. Eyi mu ki opolopo buloogu aladaaduro o wo okunkun.	remove_accents_and_underdots	globalVoices
Ìpalẹ́numọ́ iléeṣẹ́ akọ̀ròyìn aládàádúró  nípasẹ̀ àwọn àdàlù ìṣíwèé fún ilé iṣẹ́ akọ̀ròyìn àti ìrókẹ́kẹ́ mọ́ oníṣẹ́-ìròyìn ti di ìdẹ́rùbà, ìkóra-ẹni-ní-ìjánu àti ìbẹ̀rù láti sọ èrò ọkàn ẹni nípa àwọn olórí orílẹ̀ èdè náà.	Ipalenumo ileese akoroyin aladaaduro  nipase awon adalu isiwee fun ile ise akoroyin ati irokeke mo onise-iroyin ti di ideruba, ikora-eni-ni-ijanu ati iberu lati so ero okan eni nipa awon olori orile ede naa.	remove_accents_and_underdots	globalVoices
Àtìmọ́lé àti ìdápadà Wakabi sí Uganda jẹ́  ìtẹ̀síwájú ìdojú-ìjà-kọ òmìnira ọ̀rọ̀ tòun èrò ọkàn ẹni ní Tanzania.	Atimole ati idapada Wakabi si Uganda je  itesiwaju idoju-ija-ko ominira oro toun ero okan eni ni Tanzania.	remove_accents_and_underdots	globalVoices
