Original Sentence	Modified Sentence	Case Rule Applied	Source of Data
Àwọn ϙmϙ ẹgbé ile ìgbìmò Welsh n ṣaniyan nipa ‘wÍwò bii òmὺgò’	Awon ϙmϙ egbe ile igbimo Welsh n saniyan nipa ‘wIwo bii omυgo’	remove_accents_and_underdots	msft
Ibẹru-bojo wa laarin awọn ϙmϙ ẹgbé kan nitori àbá kan eyiti o fẹ ki won yi àpèjẹ wọn pada si MWPs (Ọmọ Ile Aṣoju-ṣofin ti Welsh)	Iberu-bojo wa laarin awon ϙmϙ egbe kan nitori aba kan eyiti o fe ki won yi apeje won pada si MWPs (Omo Ile Asoju-sofin ti Welsh)	remove_accents_and_underdots	msft
Àbá yíì jeyọ sita nitori awọn àgbàkalẹ ètò láti yí orúkọ ìpéjọpọ náà padà sí Ile Aṣoju-ṣofin ti Welsh.	Aba yii jeyo sita nitori awon agbakale eto lati yi oruko ipejopo naa pada si Ile Asoju-sofin ti Welsh.	remove_accents_and_underdots	msft
Àwọn ϙmϙ ẹgbé kaakiri gbogbo ọwọja òșèlú nṣaniyan wipe leè pe ìtìjú wọlé.	Awon ϙmϙ egbe kaakiri gbogbo owoja oselu nsaniyan wipe lee pe itiju wole.	remove_accents_and_underdots	msft
Ọkón lára awon ọmọ ẹgbẹ Labour sọpé Èyí ti o kan ẹgbẹ t’ohun nipe “ó fi ara pè Twp àti Pwp.”	Okon lara awon omo egbe Labour sope Eyi ti o kan egbe t’ohun nipe “o fi ara pe Twp ati Pwp.”	remove_accents_and_underdots	msft
Fun awọn onkawe lẹyin odi Wales. Ní èdè Welsh twp tumọ sí omugọ tí pwp sì tumọ sí ìgbẹẹ eniyan.	Fun awon onkawe leyin odi Wales. Ni ede Welsh twp tumo si omugo ti pwp si tumo si igbee eniyan.	remove_accents_and_underdots	msft
"ọmọ ẹgbẹ Plaid kan sọpe inú ẹgbẹ náà l’ápapò ""kò dùn"" tí ó sì dá àbá àwọn àfirọ́pò miran."	"omo egbe Plaid kan sope inu egbe naa l’apapo ""ko dun"" ti o si da aba awon afiropo miran."	remove_accents_and_underdots	msft
Ọmọ ẹgbẹ Conservative ti Welsh kan sọpe ẹgbẹ òun “kò pa ọkàn rẹ rárá” nipa yiyipada orúkọ náà, ṣugbọn o ṣakiyesi wipe ó jẹ ọrọ ẹnu kúkúrú ti ó fò kúrò láti MVP sí Omugọ.	Omo egbe Conservative ti Welsh kan sope egbe oun “ko pa okan re rara” nipa yiyipada oruko naa, sugbon o sakiyesi wipe o je oro enu kukuru ti o fo kuro lati MVP si Omugo.	remove_accents_and_underdots	msft
Nínú àsọyé èdé yìí pípèé lẹta w ninu èdè Welsh ni o farajọ ìpè lẹta u ti èdè Geesi ti àwọn Yorkshire.	Ninu asoye ede yii pipee leta w ninu ede Welsh ni o farajo ipe leta u ti ede Geesi ti awon Yorkshire.	remove_accents_and_underdots	msft
Igbimọ Amuṣẹṣe Ipejọpọ náà, èyítí ó ńṣatopọ ofin lati mu awọn ayipada orukọ naa wọle, sọpe: “Ipinnu eyi ti yòó gbẹyin lori ìṣapejuwe ohun tí a pe àwon Ọmọ Ẹgbẹ Ipejọpọ Aṣoju-ṣofin náà ni yóò jẹ ọrọ fun awọn ọmọ ẹgbẹ lati yanjú funrarawọn.”	Igbimo Amusese Ipejopo naa, eyiti o nsatopo ofin lati mu awon ayipada oruko naa wole, sope: “Ipinnu eyi ti yoo gbeyin lori isapejuwe ohun ti a pe awon Omo Egbe Ipejopo Asoju-sofin naa ni yoo je oro fun awon omo egbe lati yanju funrarawon.”	remove_accents_and_underdots	msft
