Original Sentence	Modified Sentence	Case Rule Applied	Source of Data
﻿Ìdá 1: Kín ni Creative Commons?	Ida 1: Kin ni Creative Commons?	remove_only_accents	menyo20k
Iṣẹ́ yìí wà lábẹ́ àṣẹ Creative Commons Attribution 4.0 International License.	Iṣẹ yii wa labẹ aṣẹ Creative Commons Attribution 4.0 International License.	remove_only_accents	menyo20k
Creative Commons jẹ́ àwọn ọ̀kan-ò-jọ̀kan ohun-èlò ajẹmófin, iléeṣẹ́ àìlérèlórí, àti àjọ àwọn ènìyàn eléròǹgbà kan náà kárí àgbáńlá ayé— tí í ṣe ìmísí àwọn ènìyànkan tí ó ní ìfẹ́ tinútinú láti pín àwọn iṣẹ́-àtinúdá àti ìmọ̀ wọn èyí tí ó ní àtìlẹ́yìn àwọn ọ̀kan-ò-jọ̀kan àṣẹ ìṣísílẹ̀-gbangba-wálíà fún àtúnlò.	Creative Commons jẹ awọn ọkan-o-jọkan ohun-elo ajẹmofin, ileeṣẹ ailerelori, ati ajọ awọn eniyan elerongba kan naa kari agbanla aye ti i ṣe imisi awọn eniyankan ti o ni ifẹ tinutinu lati pin awọn iṣẹ-atinuda ati imọ wọn eyi ti o ni atilẹyin awọn ọkan-o-jọkan aṣẹ iṣisilẹ-gbangba-walia fun atunlo.	remove_only_accents	menyo20k
Creative Commons bẹ̀rẹ̀ láti wá wọ̀rọ̀kọ̀ fi ṣe àdá látàrí ètò, ẹ̀tọ́ àti àṣẹ-ẹ̀dà lórí iṣẹ́-ọpọlọ-àtinúdá àgbáńlá ayé tí kò bá ìgbà mu .	Creative Commons bẹrẹ lati wa wọrọkọ fi ṣe ada latari eto, ẹtọ ati aṣẹ-ẹda lori iṣẹ-ọpọlọ-atinuda agbanla aye ti ko ba igba mu .	remove_only_accents	menyo20k
Àwọn àṣẹ CC jẹ mọ́ àṣẹ ẹni tí ó ní iṣẹ́-àtinúdá tí ó jẹ́ pé ó fi àyè gba àwọn oníṣẹ́-ọpọlọ-àtinúdá láti yan oríṣìíríṣìí àṣẹ fún àtúnpín àti àtúnlò iṣẹ́.	Awọn aṣẹ CC jẹ mọ aṣẹ ẹni ti o ni iṣẹ-atinuda ti o jẹ pe o fi aye gba awọn oniṣẹ-ọpọlọ-atinuda lati yan oriṣiiriṣii aṣẹ fun atunpin ati atunlo iṣẹ.	remove_only_accents	menyo20k
Ìgbàdéègbà ni ọpọ́n àti ojúṣe Creative Commons ń fẹjú sí i. Ìdá yìí yóò tú pẹrẹpẹ́ẹ̀rẹ̀ ibi tí CC ti ń bọ̀ àti ibi tí ó fi orí lé.	Igbadeegba ni ọpọn ati ojuṣe Creative Commons n fẹju si i. Ida yii yoo tu pẹrẹpẹẹrẹ ibi ti CC ti n bọ ati ibi ti o fi ori le.	remove_only_accents	menyo20k
Abala méjì ni ìdá yìí níi:	Abala meji ni ida yii nii:	remove_only_accents	menyo20k
1.1 Ìtàn Creative Commons	1.1 Itan Creative Commons	remove_only_accents	menyo20k
1.2 Creative Commons Lónìí	1.2 Creative Commons Lonii	remove_only_accents	menyo20k
Bákan náà ni àwọn àfikún wà tí ó ń ṣàlàyé síwájú bí o bá nífẹ̀ẹ́ sí ìtẹ̀síwájú ìṣípayá nípa èyíkéyìí orí-ọ̀rọ̀ tí ó wà nínú ìdá ẹ̀kọ́ yìí.	Bakan naa ni awọn afikun wa ti o n ṣalaye siwaju bi o ba nifẹẹ si itẹsiwaju iṣipaya nipa eyikeyii ori-ọrọ ti o wa ninu ida ẹkọ yii.	remove_only_accents	menyo20k
Kíyèsíi: Torí wí pé o parí Ìwé-ẹ̀rí CC kò fún ọ gẹ́gẹ́ bí akẹ́kọ̀ọ́ láṣẹ láti pe ara rẹ̀ ní amòfin tí ó ń fún àwọn ènìyàn ní àmòràn ajẹmófin lórí àṣẹ-ẹ̀dà iṣẹ́-àtinúdá, ìfòtítọ́ lò / fifi òdodo lo iṣẹ́ tàbí àṣẹ ìṣísílẹ̀-gbangba-wálíà fun àtúnlò.	Kiyesii: Tori wi pe o pari Iwe-ẹri CC ko fun ọ gẹgẹ bi akẹkọọ laṣẹ lati pe ara rẹ ni amofin ti o n fun awọn eniyan ni amoran ajẹmofin lori aṣẹ-ẹda iṣẹ-atinuda, ifotitọ lo / fifi ododo lo iṣẹ tabi aṣẹ iṣisilẹ-gbangba-walia fun atunlo.	remove_only_accents	menyo20k
Àwọn àkóónú abala-ẹ̀kọ́ àti àwọn ìwífún àwọn olùkọ́ni Ìwé-ẹ̀rí náà kì í ṣe ìmọ̀ràn ajẹmófin.	Awọn akoonu abala-ẹkọ ati awọn iwifun awọn olukọni Iwe-ẹri naa ki i ṣe imọran ajẹmofin.	remove_only_accents	menyo20k
