Original Sentence	Modified Sentence	Case Rule Applied	Source of Data
Ṣùgbọ́n nígbà tí wọ́n jáde kúrò ní Ejibiti àwọn ọmọ Israẹli la aginjù kọjá lọ sí ọ̀nà Òkun pupa wọ́n sì lọ sí Kadeṣi. 	Sugbon nigba ti won jade kuro ni Ejibiti awon omo Israeli la aginju koja lo si ona Okun pupa won si lo si Kadesi. 	remove_accents_and_underdots	bible
 Ọlọ́run rẹ fúnrarẹ̀ ni yóò rékọjá fún ọ. Yóò pa àwọn orílẹ̀-èdè yìí run níwájú rẹ	Ọlọrun rẹ funrarẹ ni yoo rekọja niwaju ọ. Yoo pa awọn orilẹ-ede yii run fun rẹ	remove_only_accents_and_swap_word	bible
Nígbà tí àwọn àlùfáà fọn ìpè	Nigba fọn awọn alufaa ti ipe	remove_only_accents_and_swap_word	bible
Àyà mi gbóná ní inú mi.Nígbà tí mo ń ṣàṣàrò	Aya mi gbona ni inu mi.Nigba ti mo n sasaro	remove_accents_and_underdots	bible
Nígbà náà ni Dafidi sá kúrò ní Naioti ti Rama ó sì lọ sọ́dọ̀ Jonatani ó sì béèrè pé	Nigba naa ni Dafidi sa kuro ni Naioti ti Rama o si lo sodo Jonatani o si beere pe	remove_accents_and_underdots	bible
Ìyàwó rẹ̀ Sereṣi àti àwọn ọ̀rẹ́ rẹ̀ wí fún un pé	Iyawo re Seresi ati awon ore re wi fun un pe	remove_accents_and_underdots	bible
Ìwọ yóò sì sọ ohun gbogbo tí Èmi ti pàṣẹ fún ọ	Iwọ yoo si sọ ohun gbogbo ti Emi ti paṣẹ fun ọ	remove_only_accents	bible
Àwọn ènìyàn yóò sì dáhùn wí pé: ‘Nítorí tí wọ́n ti kọ̀  sílẹ̀	Awon eniyan yoo si dahun wi pe: ‘Nitori ti won ti ko  sile	remove_accents_and_underdots	bible
Saulu sì ń bẹ̀rù Dafidi nítorí pé  wà pẹ̀lú Dafidi	Saulu si n bẹru Dafidi nitori pe  wa pẹlu Dafidi	remove_only_accents	bible
Mo wá rò ó nínú ọkàn mi láti mọ̀	Mo wa ro o ninu okan mi lati mo	remove_accents_and_underdots	bible
Nítorí náà ẹ̀mí mi ṣe rẹ̀wẹ̀sì nínú mi;ọkàn mi nínú mi ṣì pòruurù.	Nitori naa ẹmi mi ṣe mi;ọkan ninu rẹwẹsi mi ninu mi ṣi poruuru.	remove_only_accents_and_swap_word	bible
Isaaki súre fún Jakọbu.	Isaaki sure fun Jakobu.	remove_accents_and_underdots	bible
Nísinsin yìí	Nisinsin yii	remove_accents_and_underdots	bible
Mo sì tún fi òrùka sí ọ ní imú	Mo si tun fi oruka si o ni imu	remove_accents_and_underdots	bible
Gbọ́ ohùn àwọn tí ó sálọ	Gbo ohun awon ti o salo	remove_accents_and_underdots	bible
Ìwọ ó sì mú àwọn ọmọ Lefi wá síwájú àgọ́ ìpàdé	Iwo o si mu awon omo Lefi wa siwaju ago ipade	remove_accents_and_underdots	bible
Nítorí náà	Nitori naa	remove_accents_and_underdots	bible
Nígbà tí ọjọ́ wọn sì pé bí wọ́n ti ń padà bọ̀	Nigba ti ojo won si pe bi won ti n pada bo	remove_accents_and_underdots	bible
Nígbà tí ó bá sán àrá	Nigba ti o ba san ara	remove_accents_and_underdots	bible
Gbogbo àwọn ọ̀tá mi lójú yóò tì	Gbogbo awon ota mi loju yoo ti	remove_accents_and_underdots	bible
